title,date_published,date_modified,content,road,town,location,all_text,fatalities_mentioned,fatalities_count,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc
Man suffers serious injuries in traffic accident,2025-09-17,2025-09-17,"A 52-year-old man from Żurrieq, at around 2330hrs, was taken to Mater Dei Hospital after suffering injuries in a traffic accident in a parking lot on Triq il-Mina ta’ Hompesch, Ħaż-Żabbar.Initial investigations revealed that the victim was hit by a Toyota Vitz, which was being driven by a 26-year-old man resident in Kalkara.The man was treated by a medical team, taken to hospital by ambulance and certified as having suffered serious injuries.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and an inquiry was opened, while investigations by the Police are still ongoing.",Triq il-Mina ta' Hompesch,Ħaż-Żabbar,"(""Triq il-Mina ta' Hompesch"", 'Ħaż-Żabbar')","Man suffers serious injuries in traffic accident A 52-year-old man from Żurrieq, at around 2330hrs, was taken to Mater Dei Hospital after suffering injuries in a traffic accident in a parking lot on Triq il-Mina ta’ Hompesch, Ħaż-Żabbar.Initial investigations revealed that the victim was hit by a Toyota Vitz, which was being driven by a 26-year-old man resident in Kalkara.The man was treated by a medical team, taken to hospital by ambulance and certified as having suffered serious injuries.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and an inquiry was opened, while investigations by the Police are still ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],"['Suffering', 'Serious']",['Toyota'],Wednesday,23:30,52,35.8753368,14.5374788,24.821500778198242,0.0,0.0,0.0,9220.0,4.510787010192871,298.6103515625,2.0,0.0,29.8799991607666,12.53813362121582,324.02105712890625,2025-09-17 22:00:00+00:00
Car-motorcycle collision in St Paul&#8217;s Bay,2025-04-18,2025-04-18,"Today, at around 1330hrs, the Police were informed of a traffic accident in Triq Burmarrad, St Paul’s Bay.Preliminary investigations showed that a collision occurred between a Mazda Demio driven by a 31-year-old Czech Republic woman residing in Mosta and a Piaggio motorcycle driven by a 72-year-old man who lives in Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",Triq Burmarrad,San Pawl Il-Baħar,"('Triq Burmarrad', 'San Pawl Il-Baħar')","Car-motorcycle collision in St Paul&#8217;s Bay Today, at around 1330hrs, the Police were informed of a traffic accident in Triq Burmarrad, St Paul’s Bay.Preliminary investigations showed that a collision occurred between a Mazda Demio driven by a 31-year-old Czech Republic woman residing in Mosta and a Piaggio motorcycle driven by a 72-year-old man who lives in Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Mazda', 'Piaggio']",Friday,13:30,31,35.9480742,14.3973929,14.696999549865723,0.0,0.0,0.0,42260.0,4.829906940460205,206.5649871826172,3.0,0.0,37.79999923706055,21.218631744384766,267.0517883300781,2025-04-18 22:00:00+00:00
Car-motorcycle collision in Mosta,2025-07-07,2025-07-07,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq iż-Żejfa, Mosta.Preliminary investigations showed that a collision occurred between a Kia Sportage driven by a 34-year-old woman from Rabat and a Suzuki motorcycle driven by a 30-year-old Indian man who lives in Birkirkara.A medical team was called on site and an ambulance took the man to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Joseph Mifsud LL.D was informed about the case who appointed an inquiry, while Police investigations are ongoing.",Triq iż-Żejfa,Il-Mosta,"('Triq iż-Żejfa', 'Il-Mosta')","Car-motorcycle collision in Mosta Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq iż-Żejfa, Mosta.Preliminary investigations showed that a collision occurred between a Kia Sportage driven by a 34-year-old woman from Rabat and a Suzuki motorcycle driven by a 30-year-old Indian man who lives in Birkirkara.A medical team was called on site and an ambulance took the man to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Joseph Mifsud LL.D was informed about the case who appointed an inquiry, while Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],[],"['Kia', 'Suzuki', 'Indian']",Monday,18:00,34,35.9079178,14.4241508,26.56800079345703,0.0,0.0,0.0,48620.0,5.692099571228027,198.43504333496094,2.0,0.0,34.91999816894531,18.532135009765625,235.9390411376953,2025-07-07 22:00:00+00:00
Car-motorcycle collision in Żejtun,2025-04-17,2025-04-17,"Today, at around 0930hrs, the Police were informed of a traffic accident in Tal-Barrani Road, Żejtun.The Police went immediately on site and preliminary investigations showed that a collision had occurred between a Mazda Demio driven by a 46-year-old man residing in Żejtun and a Honda motorcycle driven by a 79-year-old man also living in Żejtun.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",Barrani Road,Iż-Żejtun,"('Barrani Road', 'Iż-Żejtun')","Car-motorcycle collision in Żejtun Today, at around 0930hrs, the Police were informed of a traffic accident in Tal-Barrani Road, Żejtun.The Police went immediately on site and preliminary investigations showed that a collision had occurred between a Mazda Demio driven by a 46-year-old man residing in Żejtun and a Honda motorcycle driven by a 79-year-old man also living in Żejtun.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Mazda', 'Honda']",Thursday,09:30,46,35.853701,14.53153,13.506500244140625,0.0,0.0,0.0,29360.0,6.214563369750977,259.9920959472656,3.0,0.0,60.12000274658203,27.117345809936523,281.5909118652344,2025-04-17 22:00:00+00:00
Traffic accident in Santa Venera,2025-05-15,2025-05-15,"A 22-year-old man and residing in Rabat, at around 1745hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Regional Road, Santa Venera.Preliminary investigations showed that a collision occurred between a Toyota Vitz driven by a 19-year-old woman residing in Żurrieq and a Honda motorcycle driven by the victim.She was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",Regional Road,Santa Venera,"('Regional Road', 'Santa Venera')","Traffic accident in Santa Venera A 22-year-old man and residing in Rabat, at around 1745hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Regional Road, Santa Venera.Preliminary investigations showed that a collision occurred between a Toyota Vitz driven by a 19-year-old woman residing in Żurrieq and a Honda motorcycle driven by the victim.She was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Toyota']",Thursday,17:45,22,35.8897878,14.4802386,19.058500289916992,0.0,0.0,0.0,21720.0,9.0,270.0,95.0,6.600000381469727,74.15999603271484,28.829233169555664,145.3994903564453,2025-05-15 22:00:00+00:00
Fatal accident in Żebbuġ,2025-06-22,2025-06-22,"On Thursday 19th June, at around ten in the evening (2200 hrs), the Police were informed of a traffic accident in Triq L-Imdina, Ħaż-Żebbuġ.Initial investigations showed that a collision occurred between a Renault Captur driven by a 57-year-old man from Dingli and a Honda Civic driven by a 32-year-old man from Luqa. A 28-year-old woman, a resident of Attard, was a passenger in the Honda.They were assisted by a medical team and members of the Civil Protection Department.All persons were taken to Mater Dei Hospital by ambulance. Shortly afterwards, the 32-year-old man was certified dead.The other man and the woman sustained grievous injuries.Magistrate Dr Antoine Agius Bonnici LL. D was informed of the case and appointed an inquiry.Police investigations are ongoing.",Triq L-Imdina,Ħaż-Żebbuġ,"('Triq L-Imdina', 'Ħaż-Żebbuġ')","Fatal accident in Żebbuġ On Thursday 19th June, at around ten in the evening (2200 hrs), the Police were informed of a traffic accident in Triq L-Imdina, Ħaż-Żebbuġ.Initial investigations showed that a collision occurred between a Renault Captur driven by a 57-year-old man from Dingli and a Honda Civic driven by a 32-year-old man from Luqa. A 28-year-old woman, a resident of Attard, was a passenger in the Honda.They were assisted by a medical team and members of the Civil Protection Department.All persons were taken to Mater Dei Hospital by ambulance. Shortly afterwards, the 32-year-old man was certified dead.The other man and the woman sustained grievous injuries.Magistrate Dr Antoine Agius Bonnici LL. D was informed of the case and appointed an inquiry.Police investigations are ongoing.",True,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Honda', 'Renault']",Sunday,22:00,57,35.8725956,14.4398593,25.436498641967773,0.0,0.0,0.0,46160.0,4.0249223709106445,259.6952209472656,2.0,0.0,25.19999885559082,11.18320083618164,303.0238037109375,2025-06-22 22:00:00+00:00
Motorcycle accident in St Paul&#8217;s Bay,2025-09-16,2025-09-17,"A 44-year-old Japanese woman who resides in Birkirkara, at around 1930hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, St Paul’s Bay.Preliminary investigations showed that a 44-year-old German man who lives in St Julian’s was driving a Voge 300Rally motorcycle, lost control and fell. The woman was a pillion rider on the motorcycle.They were assisted by a medical team, and the woman was taken to hospital by ambulance where she was certified to have sustained grievous injuries.Police investigations are ongoing.",Triq San Pawl,San Pawl Il-Baħar,"('Triq San Pawl', 'San Pawl Il-Baħar')","Motorcycle accident in St Paul&#8217;s Bay A 44-year-old Japanese woman who resides in Birkirkara, at around 1930hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, St Paul’s Bay.Preliminary investigations showed that a 44-year-old German man who lives in St Julian’s was driving a Voge 300Rally motorcycle, lost control and fell. The woman was a pillion rider on the motorcycle.They were assisted by a medical team, and the woman was taken to hospital by ambulance where she was certified to have sustained grievous injuries.Police investigations are ongoing.",False,,['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],['Voge'],Tuesday,19:30,44,35.9480742,14.3973929,24.097000122070312,0.0,0.0,0.0,21220.0,3.5999999046325684,233.13002014160156,45.0,0.0,22.68000030517578,10.948972702026367,258.4208068847656,2025-09-16 22:00:00+00:00
Woman grievously injured in traffic accident,2025-04-01,2025-04-01,"An 87-year-old woman who lives in Naxxar, at around 0900hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, Naxxar.Preliminary investigations showed that the victim was hit by a Smart, which was being driven by a30-year-old man residing in Fgura.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",Triq San Pawl,In-Naxxar,"('Triq San Pawl', 'In-Naxxar')","Woman grievously injured in traffic accident An 87-year-old woman who lives in Naxxar, at around 0900hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq San Pawl, Naxxar.Preliminary investigations showed that the victim was hit by a Smart, which was being driven by a30-year-old man residing in Fgura.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Smart'],Tuesday,09:00,87,35.9133396,14.4432851,12.569000244140625,0.0,0.0,0.0,47180.0,22.2647705078125,309.0938415527344,80.0,0.0,61.19999694824219,30.652894973754883,307.6540222167969,2025-04-01 22:00:00+00:00
Man grievously injured in traffic accident,2025-08-19,2025-08-20,"A 75-year-old man who lives in Zabbar, at around 1600hrs of yesterday afternoon, was taken to Mater Dei Hospital because he was injured in a traffic accident in Luqa Road, Paola.Preliminary investigations showed that the man was hit by a Nissan March, which was being driven by a 29-year-old man residing in Santa Lucija.The elderly man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",Luqa Road,Raħal Ġdid,"('Luqa Road', 'Raħal Ġdid')","Man grievously injured in traffic accident A 75-year-old man who lives in Zabbar, at around 1600hrs of yesterday afternoon, was taken to Mater Dei Hospital because he was injured in a traffic accident in Luqa Road, Paola.Preliminary investigations showed that the man was hit by a Nissan March, which was being driven by a 29-year-old man residing in Santa Lucija.The elderly man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Nissan'],Tuesday,16:00,75,35.8717994,14.5073748,24.364999771118164,0.0,0.0,0.0,11440.0,2.5199999809265137,270.0,45.0,0.0,15.480000495910645,5.991593837738037,312.7508239746094,2025-08-19 22:00:00+00:00
Gozo traffic accident,2025-09-24,2025-09-24,"Today, at around 0800 hrs, the Police were informed of a traffic accident in Triq Marsalforn, Żebbuġ, Gozo.From initial investigations, it showed that an 82-year-old man from Ħaż-Żabbar lost control of the Toyota Corolla he was driving and crashed into a wall. An 81-year-old woman from Santa Venera was also in the vehicle.The woman was assisted by a medical team on site and taken to Gozo General Hospital by an ambulance, where she was certified to have sustained grievous injuries.The Police are carrying out investigations.",Triq Marsalforn,Ħaż-Żebbuġ,"('Triq Marsalforn', 'Ħaż-Żebbuġ')","Gozo traffic accident Today, at around 0800 hrs, the Police were informed of a traffic accident in Triq Marsalforn, Żebbuġ, Gozo.From initial investigations, it showed that an 82-year-old man from Ħaż-Żabbar lost control of the Toyota Corolla he was driving and crashed into a wall. An 81-year-old woman from Santa Venera was also in the vehicle.The woman was assisted by a medical team on site and taken to Gozo General Hospital by an ambulance, where she was certified to have sustained grievous injuries.The Police are carrying out investigations.",False,,['Car'],['Accident'],['Gozo General Hospital'],['Grievous'],['Toyota'],Wednesday,08:00,82,35.8725956,14.4398593,23.186498641967773,0.0,0.0,0.0,5000.0,5.692099094390869,325.3047790527344,80.0,0.0,33.839996337890625,15.978486061096191,205.82093811035156,2025-09-24 22:00:00+00:00
Fatal motorcycle accident,2025-01-24,2025-01-24,"A 36-year-old Italian man, residing in Birkirkara, lost his life late last night in a traffic accident in Msida.The accident happened at around 2015hrs in Mikiel Anton Vassalli Street.From initial investigations it appears that the man was riding a Honda motorcycle and while he was in the tunnel, he lost control, crashed into the wall and fell.The victim was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Philip Galea Farrugia LL. D was informed of the case and appointed an inquiry.Police investigations are still ongoing.",in Mikiel Anton Vassalli Street,Birkirkara,"('in Mikiel Anton Vassalli Street', 'Birkirkara')","Fatal motorcycle accident A 36-year-old Italian man, residing in Birkirkara, lost his life late last night in a traffic accident in Msida.The accident happened at around 2015hrs in Mikiel Anton Vassalli Street.From initial investigations it appears that the man was riding a Honda motorcycle and while he was in the tunnel, he lost control, crashed into the wall and fell.The victim was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Philip Galea Farrugia LL. D was informed of the case and appointed an inquiry.Police investigations are still ongoing.",True,,['Motorcycle'],['Accident'],['Mater Dei'],[],['Honda'],Friday,20:15,36,35.8994577,14.4649552,15.826499938964844,0.0,0.0,0.0,19480.0,12.727921485900879,331.2602844238281,3.0,0.0,52.91999816894531,25.364036560058594,298.982666015625,2025-01-24 22:00:00+00:00
Traffic accident in Iklin,2025-02-15,2025-02-15,"Today, at around midnight (0000 hrs), the Police were informed of a traffic accident in Valley Road, Iklin.From preliminary investigations it resulted that a collision occurred between a Toyota Passo driven by a 42-year-old woman from St Paul’s Bay and a Keeway motorcycle driven by a 39-year-old man from Lija.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance. He was later certified to have sustained grievous injuries.The Police are investigating the case.",Valley Road,L-Iklin,"('Valley Road', 'L-Iklin')","Traffic accident in Iklin Today, at around midnight (0000 hrs), the Police were informed of a traffic accident in Valley Road, Iklin.From preliminary investigations it resulted that a collision occurred between a Toyota Passo driven by a 42-year-old woman from St Paul’s Bay and a Keeway motorcycle driven by a 39-year-old man from Lija.The motorcyclist was assisted by a medical team and taken to Mater Dei Hospital by ambulance. He was later certified to have sustained grievous injuries.The Police are investigating the case.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Keeway', 'Toyota']",Saturday,00:00,42,35.911112,14.4521273,12.170499801635742,0.0,0.0,0.0,45180.0,23.664352416992188,283.19061279296875,81.0,1.2999999523162842,57.23999786376953,26.64972686767578,267.152587890625,2025-02-15 22:00:00+00:00
Car-motorcycle collision,2025-02-20,2025-02-20,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Ħompesch, Fgura.Preliminary investigations showed that a collision occurred between a Chevrolet Aveo that was being driven by a 32-year-old Albanian man from Fgura and a Kawazaki ZR750 motorcycle that was being driven by a 45-year-old Italian man from Marsascala.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",Triq Ħompesch,Il-Fgura,"('Triq Ħompesch', 'Il-Fgura')","Car-motorcycle collision Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Ħompesch, Fgura.Preliminary investigations showed that a collision occurred between a Chevrolet Aveo that was being driven by a 32-year-old Albanian man from Fgura and a Kawazaki ZR750 motorcycle that was being driven by a 45-year-old Italian man from Marsascala.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations into the accident are ongoing.",False,,"['Motorcycle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Chevrolet'],Thursday,18:00,32,35.8728325,14.520799,12.802000045776367,0.0,0.0,0.0,25020.0,10.483357429504395,105.94546508789062,80.0,0.0,31.319997787475586,14.145755767822266,107.59809875488281,2025-02-20 22:00:00+00:00
Woman grievously injured in traffic accident,2025-02-09,2025-02-09,"A 75-year-old woman who lives in Marsascala, at around 0945hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq Sant’Antnin, Marsascala.Preliminary investigations showed that the victim was hit by a Mazda Demio, which was being driven by a 54-year-old woman residing in Marsascala aswell.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",Triq Sant'Antnin,Marsaskala,"(""Triq Sant'Antnin"", 'Marsaskala')","Woman grievously injured in traffic accident A 75-year-old woman who lives in Marsascala, at around 0945hrs, was taken to Mater Dei Hospital because she was injured in a traffic accident in Triq Sant’Antnin, Marsascala.Preliminary investigations showed that the victim was hit by a Mazda Demio, which was being driven by a 54-year-old woman residing in Marsascala aswell.The woman was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Mazda'],Sunday,09:45,75,35.8629162,14.5591879,11.870999336242676,0.0,0.0,0.0,3360.0,4.896529674530029,306.0274658203125,95.0,0.0,38.880001068115234,18.075441360473633,140.791015625,2025-02-09 22:00:00+00:00
Fatal motorcycle accident,2025-07-26,2025-07-26,"A 27-year-old man who lives in Paola, lost his life early this morning in a traffic accident in Pembroke.The accident happened at around 0100hrs) in Triq Sant’Andrija.Preliminary investigations showed that a collision occurred between a BMW 1 series driven by a 22-year-old man residing in St Paul’s Bay and a Honda motorcycle driven by the victim.The motorcyclist was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry.Police investigations into this incident are ongoing.",Triq Sant'Andrija,Raħal Ġdid,"(""Triq Sant'Andrija"", 'Raħal Ġdid')","Fatal motorcycle accident A 27-year-old man who lives in Paola, lost his life early this morning in a traffic accident in Pembroke.The accident happened at around 0100hrs) in Triq Sant’Andrija.Preliminary investigations showed that a collision occurred between a BMW 1 series driven by a 22-year-old man residing in St Paul’s Bay and a Honda motorcycle driven by the victim.The motorcyclist was immediately assisted by a medical team and taken to Mater Dei Hospital by ambulance. Unfortunately, he was certified dead shortly afterwards.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry.Police investigations into this incident are ongoing.",True,,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],[],"['Honda', 'Bmw']",Saturday,01:00,27,35.8717994,14.5073748,27.21500015258789,0.0,0.0,0.0,52580.0,23.424907684326172,316.2452697753906,2.0,0.0,52.19999694824219,24.522314071655273,292.00164794921875,2025-07-26 22:00:00+00:00
Gozo traffic accident,2025-07-02,2025-07-02,"Yesterday, at around 2115hrs, the Police were informed of a traffic accident in Triq Borġ Għarib, Għajnsielem.Preliminary investigations showed that a 22-year-old Albanian, a resident of Żebbuġ, Gozo, lost control of his Renault Megane and crashed into a wall.A medical team was called on site and an ambulance took the driver to Gozo General Hospital where he was certified to have sustained grievous injuries.Police investigations are ongoing.",Triq Borġ Għarib,Għajnsielem,"('Triq Borġ Għarib', 'Għajnsielem')","Gozo traffic accident Yesterday, at around 2115hrs, the Police were informed of a traffic accident in Triq Borġ Għarib, Għajnsielem.Preliminary investigations showed that a 22-year-old Albanian, a resident of Żebbuġ, Gozo, lost control of his Renault Megane and crashed into a wall.A medical team was called on site and an ambulance took the driver to Gozo General Hospital where he was certified to have sustained grievous injuries.Police investigations are ongoing.",False,,['Car'],['Accident'],['Gozo General Hospital'],['Grievous'],['Renault'],Wednesday,21:15,22,36.0288642,14.2871759,26.1200008392334,0.0,0.0,0.0,21020.0,2.741678237915039,336.8013916015625,2.0,0.0,20.15999984741211,9.470120429992676,303.6900634765625,2025-07-02 22:00:00+00:00
Collision between a bus and a van in St Julian&#8217;s,2024-12-23,2024-12-23,"This morning, at around 1030hrs, the Police were informed about a traffic accident in Triq Mikiel Anton Vassalli, St Julian’s.Preliminary investigations by the Police showed that there was a collision between an Otokar Vectio bus that was being driven by a 37-year-old man from Marsaskala and a Ford Tourneo Courier van that was being driven by a 39-year-old woman from Naxxar.The bus driver was assisted by a medical team and taken to Mater Dei Hospital by an ambulance for further treatment. He was later certified as suffering from serious injuries. The woman of the other vehicle was not injured.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and appointed an inquiry, while Police investigations are ongoing.",Triq Mikiel Anton Vassalli,San Ġiljan,"('Triq Mikiel Anton Vassalli', 'San Ġiljan')","Collision between a bus and a van in St Julian&#8217;s This morning, at around 1030hrs, the Police were informed about a traffic accident in Triq Mikiel Anton Vassalli, St Julian’s.Preliminary investigations by the Police showed that there was a collision between an Otokar Vectio bus that was being driven by a 37-year-old man from Marsaskala and a Ford Tourneo Courier van that was being driven by a 39-year-old woman from Naxxar.The bus driver was assisted by a medical team and taken to Mater Dei Hospital by an ambulance for further treatment. He was later certified as suffering from serious injuries. The woman of the other vehicle was not injured.Magistrate Dr Philip Galea Farrugia LL.D was informed of the case and appointed an inquiry, while Police investigations are ongoing.",False,,"['Motorcycle', 'Van', 'Bus', 'Vehicle', 'Car']","['Collision', 'Accident']",['Mater Dei'],['Serious'],"['Ford', 'Van']",Monday,10:30,37,35.9199225,14.4877119,10.98650074005127,0.0,0.0,0.0,46180.0,21.995380401611328,291.10491943359375,80.0,0.6000000238418579,90.0,35.4065055847168,277.9156188964844,2024-12-23 22:00:00+00:00
Persons injured in separate traffic accidents,2025-02-01,2025-02-01,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0500hrs, in Hal Farrug Road, Luqa. Preliminary investigations showed that a 34-year-old man from Qrendi was driving a Ford Fiesta, lost control and crashed into an electricity pole.The second incident happened for about the 1245hrs, in D’ Argens Street, Gzira. Preliminary investigations showed that a collision occurred between a Yamaha YB125 motorcycle driven by a 59-year-old man residing in Fgura and a Mazda Demio driven by a 30-year-old man residing in Birkirkara.A medical team assisted in both incidents and the two men aged 34 and 59 years were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",D' Argens Street,Il-Gżira,"(""D' Argens Street"", 'Il-Gżira')","The first accident occurred at around 0500hrs, in Hal Farrug Road, Luqa. Preliminary investigations showed that a 34-year-old man from Qrendi was driving a Ford Fiesta, lost control and crashed into an electricity pole.",False,,['Car'],['Accident'],[],[],['Ford'],Saturday,05:00,34,35.9077803,14.4961247,16.164499282836914,0.0,0.0,0.0,40460.0,22.915916442871094,133.72705078125,3.0,0.0,55.79999923706055,22.9752197265625,127.06373596191406,2025-02-01 22:00:00+00:00
Persons injured in separate traffic accidents,2025-02-01,2025-02-01,"Two men were taken to Mater Dei Hospital after being injured in two separate traffic accidents earlier today.The first accident occurred at around 0500hrs, in Hal Farrug Road, Luqa. Preliminary investigations showed that a 34-year-old man from Qrendi was driving a Ford Fiesta, lost control and crashed into an electricity pole.The second incident happened for about the 1245hrs, in D’ Argens Street, Gzira. Preliminary investigations showed that a collision occurred between a Yamaha YB125 motorcycle driven by a 59-year-old man residing in Fgura and a Mazda Demio driven by a 30-year-old man residing in Birkirkara.A medical team assisted in both incidents and the two men aged 34 and 59 years were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",D' Argens Street,Il-Gżira,"(""D' Argens Street"", 'Il-Gżira')","The second incident happened for about the 1245hrs, in D’ Argens Street, Gzira. Preliminary investigations showed that a collision occurred between a Yamaha YB125 motorcycle driven by a 59-year-old man residing in Fgura and a Mazda Demio driven by a 30-year-old man residing in Birkirkara.A medical team assisted in both incidents and the two men aged 34 and 59 years were taken to hospital by ambulance for medical treatment, where they were certified to have sustained grievous injuries.Police investigations are ongoing.",False,,"['Motorcycle', 'Car']",['Collision'],[],['Grievous'],"['Mazda', 'Yamaha']",Saturday,12:45,59,35.9077803,14.4961247,16.164499282836914,0.0,0.0,0.0,40460.0,22.915916442871094,133.72705078125,3.0,0.0,55.79999923706055,22.9752197265625,127.06373596191406,2025-02-01 22:00:00+00:00
Traffic accident in Gozo,2025-02-17,2025-02-17,"Today, at around 1245hrs, the Police were informed of a traffic accident in Giorgio Borg Olivier Street, Victoria, Gozo.The Police went immediately on site and preliminary investigations showed that a Kia Ceed driven by a 21-year-old man residing in Qala, Gozo, overturned after crashing into a wall.A medical team and Civil Protection personnel were called on site to assist, and an ambulance took the man to Gozo General Hospital for treatment. He was later certified with serious injuries.Magistrate Dr Simone Grech LL.D was informed of the case and appointed an inquiry.Police investigations into this incident are ongoing.",Giorgio Borg Olivier Street,Ir-Rabat,"('Giorgio Borg Olivier Street', 'Ir-Rabat')","Traffic accident in Gozo Today, at around 1245hrs, the Police were informed of a traffic accident in Giorgio Borg Olivier Street, Victoria, Gozo.The Police went immediately on site and preliminary investigations showed that a Kia Ceed driven by a 21-year-old man residing in Qala, Gozo, overturned after crashing into a wall.A medical team and Civil Protection personnel were called on site to assist, and an ambulance took the man to Gozo General Hospital for treatment. He was later certified with serious injuries.Magistrate Dr Simone Grech LL.D was informed of the case and appointed an inquiry.Police investigations into this incident are ongoing.",False,,"['Motorcycle', 'Car']",['Accident'],['Gozo General Hospital'],['Serious'],"['Victoria', 'Kia']",Monday,12:45,21,35.8818906,14.3988213,12.05150032043457,0.0,0.0,0.0,22100.0,3.545588731765747,246.03750610351562,3.0,0.0,24.119998931884766,11.983187675476074,272.57330322265625,2025-02-17 22:00:00+00:00
